position,link,title,source,date,snippet,thumbnail
1,https://www.pbs.org/newshour/economy/5-things-to-know-about-tariffs-and-how-they-work,5 things to know about tariffs and how they work,PBS,"Mar 4, 2025",Tariffs are a tax on imports. Tariffs are typically charged as a percentage of the price a buyer pays a foreign seller.,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eafbf4a9a2944c9f890c29324ea3a7a2f7537fbf56570da8de.jpeg
2,https://www.supplychaindive.com/news/trump-tariffs-status-canada-mexico-china-eu/743577/,Trump’s tariffs: Tracking the status of international trade actions,Supply Chain Dive,"Mar 28, 2025",The U.S. began levying 25% tariffs on all steel and aluminum imports in March. President Donald Trump in May said he would hike the rates to 50% starting June 4...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eaf3a1886dbd6bd2b49febf5909cf9c33bc9cd484a95764fce.jpeg
3,https://www.americanprogress.org/article/what-will-trumps-tariffs-do-for-u-s-consumers-workers-and-businesses/,"What Will Trump’s Tariffs Do for U.S. Consumers, Workers, and Businesses?",Center for American Progress,"Apr 1, 2025","What Will Trump's Tariffs Do for U.S. Consumers, Workers, and Businesses? Trump's tariffs could cost American households $5,200 annually, but they are unlikely...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea50601a965b7f396c31391a2290ca7855113ebbc816cec6de.jpeg
4,https://www.npr.org/2025/03/03/nx-s1-5316553/trump-tariffs-canada-mexico-china,Canada and China retaliate after Trump's tariffs take effect,NPR,"Mar 3, 2025","President Trump's new tariffs include a 25% levy on most imports from Canada and Mexico, with an additional 10% tariff on Canadian energy exports. Tariffs on...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea7658dce10cdd8d94171c037412ae8bbba4107b6609784394.jpeg
5,https://www.nbcnews.com/data-graphics/trump-tariffs-china-mexico-canada-trade-charts-rcna194564,"Trump's tariff threats against China, Mexico and Canada, in five charts",NBC News,"Mar 4, 2025","Tariffs of 25% on goods from Mexico and Canada went into effect Tuesday morning, alongside an additional 10% tax on Chinese goods.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea8db3626197f59b5649af8ca053bad10c6dd7c4baa43f8624.png
6,https://www.atlanticcouncil.org/programs/geoeconomics-center/trump-tariff-tracker/,Trump Tariff Tracker,Atlantic Council,"Mar 11, 2025",This tracker monitors the evolution of these tariffs and provides expert context on the economic conditions driving their creation—along with their real-world...,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea1cf9bdb4df7f77d133c3d12fde20a1f581b7e42512ef05d9.jpeg
7,https://abcnews.go.com/Business/timeline-trump-tariffs-canada-mexico-china/story?id=119506883,"A timeline of Trump's tariffs on Canada, Mexico and China",ABC News,"Mar 6, 2025","The Trump administration slapped 25% tariffs on goods from Mexico and Canada, as well as 10% tariffs on imports from China.",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eae02775d8c6296a89089ea37171b2bcb3068b9c58e0fec13a.jpeg
8,https://www.whitecase.com/insight-alert/us-tariffs-canada-and-mexico-enter-effect-tariff-china-rises-10-20,US Tariffs on Canada and Mexico Enter into Effect; Tariff on China Rises from 10% to 20%,White & Case LLP,"Mar 4, 2025","US Tariffs on Canada and Mexico Enter into Effect; Tariff on China Rises from 10% to 20% ... On March 3, 2025, the Trump administration made clear its intention...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604eae5b13e60dda8adaad71739fc2d0229f3811f9e7b003b7bbf.jpeg
9,https://www.csis.org/analysis/stacking-effect-trump-administrations-auto-tariffs,The “Stacking” Effect of the Trump Administration’s Auto Tariffs,CSIS | Center for Strategic and International Studies,"Apr 1, 2025",The Trump administration's automobile tariffs are sure to rock the sector's supply chains while raising costs for consumers.,https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea07b2e12aef19ab547f37a0ba2801efa69861dff66734708a.jpeg
10,https://www.morganlewis.com/pubs/2025/03/global-implications-of-the-us-administrations-tariff-strategy,Global Implications of the US Administration’s Tariff Strategy – Publications,Morgan Lewis,"Mar 31, 2025","This LawFlash examines the latest US tariff policies, international responses, and practical considerations for businesses operating in this shifting global...",https://serpapi.com/searches/688ca51d00a197f4375762fd/images/bb8ec8013af604ea0cf12247dd3d69eba7f0671f287f8cc59e3d1f1daf183927.jpeg
